name,day,Confirmed
Italy,0,0
Italy,1,2
Italy,2,2
Italy,3,2
Italy,4,2
Italy,5,2
Italy,6,2
Italy,7,2
Italy,8,2
Italy,9,3
Italy,10,3
Italy,11,3
Italy,12,3
Italy,13,3
Italy,14,3
Italy,15,3
Italy,16,3
Italy,17,3
Italy,18,3
Italy,19,3
Italy,20,3
Italy,21,3
Italy,22,3
Italy,23,20
Italy,24,76
Italy,25,157
Italy,26,229
Italy,27,322
Italy,28,400
Italy,29,650
Italy,30,888
Italy,31,1128
Italy,32,1694
Italy,33,2036
Italy,34,2502
Italy,35,3089
Italy,36,3858
Italy,37,4636
Italy,38,5883
Italy,39,7375
Italy,40,9172
Italy,41,10149
Italy,42,12462
Italy,43,15113
Italy,44,17660
Italy,45,21157
Italy,46,24747
Italy,47,27980
Italy,48,31506
Italy,49,35713
Italy,50,41035
Italy,51,47021
Italy,52,53578
Italy,53,59138
Italy,54,63927
Italy,55,69176
Italy,56,74386
Italy,57,80539
Italy,58,86498
Italy,59,92472
Italy,60,97689
Italy,61,101739
Italy,62,105792
China,0,0
China,1,27
China,2,27
China,3,27
China,4,44
China,5,44
China,6,59
China,7,59
China,8,59
China,9,59
China,10,59
China,11,59
China,12,59
China,13,59
China,14,59
China,15,59
China,16,59
China,17,59
China,18,63
China,19,80
China,20,216
China,21,235
China,22,386
China,23,526
China,24,623
China,25,882
China,26,1323
China,27,1988
China,28,2775
China,29,4528
China,30,5994
China,31,7734
China,32,9714
China,33,11809
China,34,14399
China,35,17211
China,36,20448
China,37,24320
China,38,28047
China,39,31207
China,40,34625
China,41,37232
China,42,40206
China,43,42696
China,44,44724
China,45,59865
China,46,64021
China,47,66559
China,48,68566
China,49,70618
China,50,72508
China,51,74258
China,52,74652
China,53,75543
China,54,76369
China,55,77016
China,56,77234
China,57,77749
China,58,78159
China,59,78598
China,60,78927
China,61,79355
China,62,79929
China,63,80134
China,64,80261
China,65,80380
China,66,80497
China,67,80667
China,68,80768
China,69,80814
China,70,80859
China,71,80879
China,72,80908
China,73,80932
China,74,80954
China,75,80973
China,76,80995
China,77,81020
China,78,81063
China,79,81086
China,80,81130
China,81,81229
China,82,81281
China,83,81346
China,84,81484
China,85,81553
China,86,81631
China,87,81733
China,88,81827
China,89,81946
China,90,82059
China,91,82157
China,92,82241
Spain,0,0
Spain,1,1
Spain,2,1
Spain,3,1
Spain,4,1
Spain,5,1
Spain,6,1
Spain,7,1
Spain,8,1
Spain,9,1
Spain,10,2
Spain,11,2
Spain,12,2
Spain,13,2
Spain,14,2
Spain,15,2
Spain,16,2
